日期,鉅亨_每日原始總分,鉅亨_左側情緒分類,兆豐_每日原始總分,兆豐_左側情緒分類,PTT_每日原始總分,PTT_左側情緒分類
2020-06-12,-10.0,1.0,-1.0,1.0,-5,1
2020-06-13,18.0,-1.0,,,0,0
2020-06-14,8.0,-1.0,,,0,0
2020-06-15,4.0,-1.0,5.0,-1.0,2,-1
2020-06-16,50.0,-1.0,8.0,-1.0,-1,1
2020-06-17,28.0,-1.0,8.0,-1.0,1,-1
2020-06-18,32.0,-1.0,-1.0,1.0,0,0
2020-06-19,44.0,-1.0,-2.0,1.0,2,-1
2020-06-20,28.0,-1.0,,,0,0
2020-06-21,4.0,-1.0,,,2,-1
2020-06-22,20.0,-1.0,4.0,-1.0,1,-1
2020-06-23,28.0,-1.0,3.0,-1.0,1,-1
2020-06-24,22.0,-1.0,1.0,-1.0,3,-1
2020-06-25,-2.0,1.0,,,0,0
2020-06-26,6.0,-1.0,,,-2,1
2020-06-27,6.0,-1.0,,,1,-1
2020-06-28,2.0,-1.0,0.0,0.0,0,0
2020-06-29,0.0,0.0,-4.0,1.0,1,-1
2020-06-30,12.0,-1.0,12.0,-1.0,1,-1
2020-07-01,28.0,-1.0,1.0,-1.0,0,0
2020-07-02,36.0,-1.0,5.0,-1.0,4,-1
2020-07-03,26.0,-1.0,9.0,-1.0,-3,1
2020-07-04,10.0,-1.0,,,0,0
2020-07-05,4.0,-1.0,0.0,0.0,0,0
2020-07-06,38.0,-1.0,10.0,-1.0,5,-1
2020-07-07,30.0,-1.0,13.0,-1.0,3,-1
2020-07-08,26.0,-1.0,3.0,-1.0,4,-1
2020-07-09,48.0,-1.0,16.0,-1.0,4,-1
2020-07-10,32.0,-1.0,6.0,-1.0,0,0
2020-07-11,8.0,-1.0,,,4,-1
2020-07-12,0.0,0.0,,,1,-1
2020-07-13,6.0,-1.0,5.0,-1.0,4,-1
2020-07-14,10.0,-1.0,2.0,-1.0,2,-1
2020-07-15,22.0,-1.0,9.0,-1.0,-10,1
2020-07-16,10.0,-1.0,9.0,-1.0,1,-1
2020-07-17,16.0,-1.0,4.0,-1.0,0,0
2020-07-18,0.0,0.0,,,1,-1
2020-07-19,4.0,-1.0,,,3,-1
2020-07-20,18.0,-1.0,2.0,-1.0,5,-1
2020-07-21,46.0,-1.0,9.0,-1.0,-6,1
2020-07-22,40.0,-1.0,5.0,-1.0,3,-1
2020-07-23,16.0,-1.0,0.0,0.0,6,-1
2020-07-24,32.0,-1.0,6.0,-1.0,1,-1
2020-07-25,8.0,-1.0,,,3,-1
2020-07-26,0.0,0.0,,,1,-1
2020-07-27,22.0,-1.0,-3.0,1.0,3,-1
2020-07-28,40.0,-1.0,3.0,-1.0,1,-1
2020-07-29,36.0,-1.0,-1.0,1.0,6,-1
2020-07-30,36.0,-1.0,2.0,-1.0,5,-1
2020-07-31,20.0,-1.0,6.0,-1.0,3,-1
2020-08-01,10.0,-1.0,,,3,-1
2020-08-02,0.0,0.0,,,4,-1
2020-08-03,0.0,0.0,9.0,-1.0,-1,1
2020-08-04,18.0,-1.0,13.0,-1.0,2,-1
2020-08-05,52.0,-1.0,9.0,-1.0,0,0
2020-08-06,24.0,-1.0,5.0,-1.0,1,-1
2020-08-07,32.0,-1.0,3.0,-1.0,2,-1
2020-08-08,10.0,-1.0,,,4,-1
2020-08-09,8.0,-1.0,,,4,-1
2020-08-10,28.0,-1.0,5.0,-1.0,1,-1
2020-08-11,32.0,-1.0,7.0,-1.0,2,-1
2020-08-12,32.0,-1.0,-1.0,1.0,3,-1
2020-08-13,12.0,-1.0,4.0,-1.0,5,-1
2020-08-14,4.0,-1.0,11.0,-1.0,4,-1
2020-08-15,4.0,-1.0,,,2,-1
2020-08-16,10.0,-1.0,,,5,-1
2020-08-17,20.0,-1.0,7.0,-1.0,3,-1
2020-08-18,2.0,-1.0,11.0,-1.0,0,0
2020-08-19,10.0,-1.0,3.0,-1.0,1,-1
2020-08-20,-10.0,1.0,2.0,-1.0,1,-1
2020-08-21,50.0,-1.0,-6.0,1.0,3,-1
2020-08-22,4.0,-1.0,,,3,-1
2020-08-23,8.0,-1.0,,,3,-1
2020-08-24,2.0,-1.0,3.0,-1.0,6,-1
2020-08-25,30.0,-1.0,6.0,-1.0,3,-1
2020-08-26,38.0,-1.0,2.0,-1.0,-4,1
2020-08-27,24.0,-1.0,12.0,-1.0,1,-1
2020-08-28,14.0,-1.0,1.0,-1.0,2,-1
2020-08-29,22.0,-1.0,,,3,-1
2020-08-30,8.0,-1.0,,,-2,1
2020-08-31,12.0,-1.0,2.0,-1.0,1,-1
2020-09-01,8.0,-1.0,2.0,-1.0,2,-1
2020-09-02,22.0,-1.0,-1.0,1.0,0,0
2020-09-03,36.0,-1.0,3.0,-1.0,0,0
2020-09-04,-20.0,1.0,-6.0,1.0,2,-1
2020-09-05,-6.0,1.0,0.0,0.0,3,-1
2020-09-06,4.0,-1.0,,,1,-1
2020-09-07,8.0,-1.0,5.0,-1.0,0,0
2020-09-08,12.0,-1.0,1.0,-1.0,4,-1
2020-09-09,6.0,-1.0,-10.0,1.0,5,-1
2020-09-10,38.0,-1.0,5.0,-1.0,3,-1
2020-09-11,16.0,-1.0,9.0,-1.0,3,-1
2020-09-12,0.0,0.0,0.0,0.0,2,-1
2020-09-13,2.0,-1.0,,,10,-1
2020-09-14,12.0,-1.0,2.0,-1.0,2,-1
2020-09-15,14.0,-1.0,14.0,-1.0,6,-1
2020-09-16,22.0,-1.0,0.0,0.0,5,-1
2020-09-17,6.0,-1.0,8.0,-1.0,2,-1
2020-09-18,14.0,-1.0,4.0,-1.0,-3,1
2020-09-19,10.0,-1.0,,,1,-1
2020-09-20,0.0,0.0,,,1,-1
2020-09-21,-14.0,1.0,6.0,-1.0,3,-1
